year,selling_price,km_driven,fuel,seller_type,transmission,owner,seats,mileage_kmpl,engine_cc,max_power_bhp,brand,car_age,owner_num
2012,551000,170000,Diesel,Individual,Manual,First Owner,7.0,13.1,2499.0,141.0,Ford,14,1
2013,525000,100000,Diesel,Individual,Manual,First Owner,5.0,23.4,1248.0,74.0,Maruti,13,1
2012,160000,62000,Petrol,Individual,Manual,First Owner,5.0,14.0,796.0,35.0,Maruti,14,1
2014,825000,110000,Diesel,Individual,Manual,First Owner,7.0,15.1,2179.0,140.0,Mahindra,12,1
2007,127000,137000,CNG,Individual,Manual,First Owner,,,,,Hyundai,19,1
2015,600000,80000,Diesel,Individual,Manual,Second Owner,9.0,13.58,2499.0,72.4,Chevrolet,11,2
2002,65000,80000,Petrol,Individual,Manual,Second Owner,5.0,17.3,993.0,60.0,Maruti,24,2
2013,550000,100000,Diesel,Individual,Manual,First Owner,5.0,23.4,1248.0,74.0,Maruti,13,1
2015,650000,120000,Diesel,Individual,Manual,First Owner,9.0,15.96,2523.0,63.0,Mahindra,11,1
2019,750000,24000,Diesel,Individual,Manual,First Owner,5.0,28.4,1248.0,74.02,Maruti,7,1
2017,380000,80000,Diesel,Individual,Manual,First Owner,6.0,25.32,1198.0,77.0,Mahindra,9,1
2012,400000,138000,Diesel,Individual,Manual,First Owner,5.0,22.32,1582.0,126.32,Hyundai,14,1
2003,50000,147000,Petrol,Individual,Manual,Fourth & Above Owner,5.0,18.9,998.0,67.1,Maruti,23,4
2017,750000,60000,Diesel,Individual,Manual,First Owner,7.0,18.49,1493.0,100.0,Mahindra,9,1
2011,150000,80000,Petrol,Individual,Manual,First Owner,5.0,18.0,995.0,62.0,Chevrolet,15,1
2016,245000,50000,Petrol,Individual,Manual,First Owner,5.0,22.74,796.0,47.3,Maruti,10,1
2013,260000,189000,Diesel,Individual,Manual,First Owner,5.0,21.02,1248.0,88.76,Tata,13,1
2014,411000,90000,Diesel,Individual,Automatic,Second Owner,5.0,21.21,1498.0,103.2,Volkswagen,12,2
2014,450000,56000,Diesel,Individual,Manual,First Owner,5.0,21.9,1396.0,88.76,Hyundai,12,1
2012,1300000,140000,Diesel,Individual,Automatic,Second Owner,5.0,18.88,1995.0,184.0,Bmw,14,2
2016,351000,60000,Petrol,Individual,Manual,First Owner,5.0,23.1,998.0,67.04,Maruti,10,1
2012,550000,130000,Diesel,Individual,Manual,First Owner,7.0,15.1,2179.0,140.0,Mahindra,14,1
2013,1300000,140000,Diesel,Individual,Automatic,Second Owner,5.0,18.88,1995.0,184.0,Bmw,13,2
2016,750000,35000,Diesel,Individual,Manual,First Owner,5.0,20.45,1461.0,83.8,Nissan,10,1
2015,800000,35000,Diesel,Individual,Manual,First Owner,5.0,20.45,1461.0,83.8,Nissan,11,1
2011,350000,156000,Diesel,Individual,Manual,First Owner,7.0,11.57,2179.0,138.1,Tata,15,1
2013,200000,90000,Petrol,Individual,Manual,First Owner,5.0,22.74,796.0,47.3,Maruti,13,1
2008,150000,60000,Diesel,Individual,Manual,Third Owner,5.0,17.0,1405.0,70.0,Tata,18,3
2016,800000,36000,Diesel,Individual,Manual,First Owner,5.0,19.01,1461.0,108.5,Nissan,10,1
2017,350000,20000,Petrol,Individual,Manual,Second Owner,5.0,21.1,814.0,55.2,Hyundai,9,2
2011,350000,160000,Diesel,Individual,Manual,First Owner,7.0,13.93,2179.0,138.0,Tata,15,1
2006,250000,185000,Diesel,Individual,Manual,First Owner,9.0,12.7,2609.0,116.6,Mahindra,20,1
2010,170000,110000,Diesel,Individual,Manual,Second Owner,5.0,17.0,1405.0,71.0,Tata,16,2
2018,395000,10800,Petrol,Individual,Manual,First Owner,5.0,25.17,799.0,53.3,Renault,8,1
2012,450000,120000,Diesel,Individual,Manual,First Owner,7.0,15.96,2523.0,62.1,Mahindra,14,1
2019,500000,15000,Petrol,Individual,Manual,First Owner,5.0,20.89,1197.0,81.8,Maruti,7,1
2012,200000,67500,Diesel,Individual,Manual,First Owner,10.0,12.2,1948.0,68.0,Tata,14,1
2017,1200000,30000,Diesel,Individual,Manual,First Owner,7.0,17.6,2179.0,153.86,Tata,9,1
2016,400000,50000,Diesel,Individual,Manual,First Owner,6.0,25.32,1198.0,77.0,Mahindra,10,1
2016,650000,100000,Diesel,Individual,Manual,First Owner,7.0,18.49,1493.0,100.0,Mahindra,10,1
2016,550000,150000,Diesel,Individual,Manual,First Owner,9.0,15.96,2523.0,63.0,Mahindra,10,1
2015,1100000,110000,Diesel,Individual,Manual,First Owner,7.0,16.0,2179.0,140.0,Mahindra,11,1
2012,254999,30000,Petrol,Individual,Manual,First Owner,5.0,22.74,796.0,47.3,Maruti,14,1
2011,180000,60000,Petrol,Individual,Manual,First Owner,5.0,19.7,796.0,46.3,Maruti,15,1
2010,160000,255000,Diesel,Individual,Manual,Second Owner,8.0,13.0,2489.0,95.0,Mahindra,16,2
2008,225000,120000,Diesel,Individual,Manual,Second Owner,5.0,16.52,1991.0,123.7,Chevrolet,18,2
2015,270000,49900,Petrol,Individual,Manual,Second Owner,5.0,22.74,796.0,47.3,Maruti,11,2
2012,310000,86000,Diesel,Individual,Manual,First Owner,5.0,21.12,1248.0,88.8,Tata,14,1
2015,225000,71850,Petrol,Individual,Manual,First Owner,5.0,20.63,1198.0,67.0,Datsun,11,1
2015,300000,95000,Diesel,Individual,Manual,Third Owner,5.0,21.2,1248.0,75.0,Fiat,11,3
2008,250000,70000,Petrol,Individual,Manual,Fourth & Above Owner,5.0,17.5,1298.0,85.8,Maruti,18,4
2011,180000,35000,Petrol,Individual,Manual,First Owner,5.0,21.1,814.0,55.2,Hyundai,15,1
2015,550000,50000,Petrol,Individual,Manual,First Owner,5.0,20.85,1197.0,83.14,Maruti,11,1
2007,300000,120000,Diesel,Individual,Manual,Third Owner,7.0,13.6,2523.0,63.0,Mahindra,19,3
2015,900000,145000,Diesel,Individual,Manual,First Owner,5.0,22.7,1582.0,126.2,Hyundai,11,1
2012,254999,190000,Diesel,Individual,Manual,Third Owner,,,,,Tata,14,3
2018,1530000,40000,Diesel,Individual,Manual,First Owner,7.0,16.0,2179.0,138.0,Mahindra,8,1
2015,590000,110000,Diesel,Individual,Manual,First Owner,5.0,27.39,1248.0,74.0,Maruti,11,1
2008,170000,112000,LPG,Individual,Manual,Second Owner,5.0,17.3,1061.0,57.5,Maruti,18,2
2017,2600000,70000,Diesel,Individual,Automatic,First Owner,5.0,20.38,1968.0,143.0,Audi,9,1
2016,475000,110000,Diesel,Individual,Manual,First Owner,5.0,23.2,1248.0,73.94,Maruti,10,1
2018,700000,29000,Diesel,Individual,Manual,First Owner,5.0,24.0,1186.0,73.97,Hyundai,8,1
2011,376000,60000,Petrol,Individual,Manual,First Owner,5.0,18.9,998.0,67.1,Maruti,15,1
2002,100000,120000,Petrol,Individual,Manual,Fourth & Above Owner,,,,,Hyundai,24,4
2004,75000,46000,Petrol,Individual,Manual,Fourth & Above Owner,4.0,16.1,796.0,37.0,Maruti,22,4
2012,440000,120000,Diesel,Individual,Automatic,Third Owner,8.0,11.79,2179.0,120.0,Mahindra,14,3
2016,390000,80000,Petrol,Individual,Manual,First Owner,5.0,20.51,998.0,67.04,Maruti,10,1
2012,725000,159000,Diesel,Individual,Manual,Second Owner,7.0,12.8,2494.0,102.0,Toyota,14,2
2012,325000,110000,Diesel,Individual,Manual,Second Owner,7.0,15.96,2523.0,62.1,Mahindra,14,2
2010,170000,75000,Petrol,Individual,Manual,Second Owner,5.0,19.7,796.0,46.3,Maruti,16,2
2010,215000,120000,Diesel,Individual,Manual,Third Owner,5.0,19.3,1248.0,73.9,Maruti,16,3
2010,350000,110000,Petrol,Individual,Manual,Third Owner,5.0,17.0,1497.0,118.0,Honda,16,3
2009,80000,80000,Petrol,Individual,Manual,Fourth & Above Owner,5.0,18.0,995.0,62.0,Chevrolet,17,4
2012,195000,80000,Petrol,Individual,Manual,Second Owner,5.0,21.1,814.0,55.2,Hyundai,14,2
2011,280000,85000,Diesel,Individual,Manual,First Owner,,,,,Maruti,15,1
2014,335000,71000,Diesel,Dealer,Manual,First Owner,5.0,21.64,1461.0,84.8,Nissan,12,1
2011,475000,108000,Diesel,Dealer,Manual,First Owner,7.0,16.0,2179.0,140.0,Mahindra,15,1
2015,484999,75000,Diesel,Dealer,Manual,First Owner,5.0,19.87,1461.0,83.8,Renault,11,1
2018,650000,22000,Petrol,Individual,Manual,Second Owner,5.0,21.56,1462.0,103.25,Maruti,8,2
2014,1850000,76131,Diesel,Individual,Automatic,First Owner,5.0,13.22,2967.0,241.4,Audi,12,1
2018,700000,30000,Petrol,Individual,Manual,Second Owner,5.0,18.6,1197.0,81.83,Hyundai,8,2
2014,3000000,65000,Diesel,Individual,Automatic,First Owner,7.0,12.07,2967.0,241.4,Audi,12,1
2018,900000,60000,Diesel,Individual,Manual,First Owner,7.0,15.4,2523.0,75.0,Mahindra,8,1
2013,350000,80000,Diesel,Individual,Manual,First Owner,5.0,22.07,1199.0,73.9,Volkswagen,13,1
2005,285000,80000,Petrol,Individual,Automatic,Second Owner,5.0,9.0,2997.0,218.0,Honda,21,2
2012,1850000,70000,Diesel,Individual,Automatic,First Owner,7.0,12.07,2967.0,241.4,Audi,14,1
2017,750000,51777,Diesel,Dealer,Manual,First Owner,5.0,24.3,1248.0,88.5,Maruti,9,1
2013,1650000,64788,Diesel,Dealer,Automatic,First Owner,5.0,0.0,2179.0,115.0,Land,13,1
2018,600000,20000,Petrol,Individual,Manual,First Owner,5.0,19.5,1199.0,88.76,Honda,8,1
2018,565000,19000,Petrol,Individual,Manual,First Owner,5.0,18.78,999.0,75.0,Volkswagen,8,1
2000,86000,46951,Petrol,Individual,Manual,First Owner,5.0,18.5,796.0,53.0,Daewoo,26,1
2016,329000,19000,Petrol,Individual,Manual,First Owner,5.0,20.63,1198.0,67.0,Datsun,10,1
2016,650000,50000,Diesel,Individual,Manual,First Owner,5.0,22.77,1498.0,98.59,Ford,10,1
2015,822000,60000,Diesel,Individual,Manual,First Owner,5.0,19.67,1582.0,126.2,Hyundai,11,1
2013,345000,100000,Diesel,Individual,Manual,Second Owner,5.0,19.01,1461.0,108.45,Renault,13,2
2001,30000,10000,Petrol,Individual,Manual,First Owner,5.0,17.3,993.0,60.0,Maruti,25,1
2012,330000,50000,Diesel,Individual,Manual,Second Owner,5.0,22.9,1248.0,74.0,Maruti,14,2
2014,300000,74537,Petrol,Individual,Manual,Second Owner,5.0,20.51,998.0,67.04,Maruti,12,2
2009,200000,90000,Petrol,Individual,Automatic,Second Owner,5.0,12.6,1586.0,103.3,Maruti,17,2
2012,200000,80000,Diesel,Individual,Manual,Second Owner,,,,,Tata,14,2
2010,90000,70000,Petrol,Individual,Manual,Second Owner,5.0,18.0,995.0,62.0,Chevrolet,16,2
2010,200000,80000,Petrol,Individual,Manual,Second Owner,5.0,18.9,1061.0,67.0,Maruti,16,2
2016,550000,35000,Diesel,Individual,Manual,First Owner,5.0,24.4,1120.0,71.0,Hyundai,10,1
2015,250000,23500,Petrol,Individual,Manual,First Owner,5.0,18.6,1199.0,76.8,Chevrolet,11,1
2017,975000,82000,Diesel,Individual,Manual,First Owner,5.0,25.6,1498.0,97.9,Honda,9,1
2014,900000,100000,Diesel,Individual,Manual,Second Owner,8.0,12.99,2494.0,100.6,Toyota,12,2
2018,610000,15000,Petrol,Individual,Manual,First Owner,5.0,18.6,1197.0,81.83,Hyundai,8,1
2017,620000,30000,Diesel,Individual,Manual,First Owner,5.0,27.39,1248.0,74.0,Maruti,9,1
2016,400000,30000,Petrol,Individual,Manual,First Owner,5.0,18.9,1197.0,82.0,Hyundai,10,1
2019,500000,11000,Petrol,Individual,Manual,First Owner,5.0,21.63,998.0,67.0,Maruti,7,1
2017,200000,140000,Petrol,Individual,Manual,First Owner,7.0,19.02,1198.0,67.05,Datsun,9,1
2016,360000,110000,Diesel,Individual,Manual,First Owner,5.0,23.0,1248.0,88.7,Tata,10,1
2012,252000,48000,Petrol,Individual,Manual,First Owner,5.0,20.92,998.0,67.1,Maruti,14,1
2012,280000,70000,Diesel,Individual,Manual,Second Owner,5.0,22.9,1248.0,74.0,Maruti,14,2
2018,509999,70000,Petrol,Individual,Manual,Second Owner,5.0,22.0,1197.0,81.8,Maruti,8,2
2016,1050000,58000,Diesel,Individual,Manual,First Owner,7.0,15.4,1997.0,120.0,Mahindra,10,1
2010,200000,40000,LPG,Individual,Manual,Fourth & Above Owner,5.0,17.3,1061.0,57.5,Maruti,16,4
2005,60000,90000,Petrol,Individual,Manual,Second Owner,5.0,17.3,993.0,60.0,Maruti,21,2
2010,320000,40000,Diesel,Individual,Manual,Second Owner,7.0,14.0,2498.0,112.0,Mahindra,16,2
2013,520000,110000,Diesel,Individual,Manual,First Owner,9.0,12.05,2179.0,120.0,Mahindra,13,1
2007,250000,80000,Diesel,Individual,Manual,Second Owner,7.0,11.57,2179.0,138.1,Tata,19,2
2017,725000,60000,Diesel,Individual,Manual,First Owner,5.0,24.3,1248.0,88.5,Maruti,9,1
2015,585000,50000,Diesel,Individual,Manual,First Owner,7.0,15.96,2523.0,62.1,Mahindra,11,1
2017,430000,25000,Petrol,Individual,Manual,First Owner,5.0,23.84,1199.0,84.0,Tata,9,1
2011,235000,100000,Diesel,Individual,Manual,Second Owner,5.0,22.9,1248.0,74.0,Maruti,15,2
2012,350000,52000,Diesel,Individual,Manual,Third Owner,5.0,19.3,1248.0,73.9,Maruti,14,3
2010,131000,80000,Petrol,Individual,Manual,Third Owner,5.0,19.81,1086.0,68.05,Hyundai,16,3
2016,450000,85000,Diesel,Individual,Manual,First Owner,5.0,25.8,1498.0,98.6,Honda,10,1
2016,750000,83000,Diesel,Individual,Manual,First Owner,5.0,24.3,1248.0,88.5,Maruti,10,1
2013,200000,50000,Petrol,Individual,Manual,First Owner,5.0,22.74,796.0,47.3,Maruti,13,1
2009,125000,120000,Petrol,Individual,Manual,Fourth & Above Owner,5.0,18.9,1061.0,67.0,Maruti,17,4
2014,500000,100000,Diesel,Individual,Manual,First Owner,7.0,15.96,2523.0,62.1,Mahindra,12,1
2012,380000,70000,Diesel,Individual,Manual,Third Owner,5.0,22.9,1248.0,74.0,Maruti,14,3
2008,128000,19000,Petrol,Individual,Manual,First Owner,5.0,19.7,796.0,46.3,Maruti,18,1
2009,250000,68600,Petrol,Individual,Manual,Third Owner,5.0,17.0,1497.0,118.0,Honda,17,3
2017,690000,60000,Diesel,Individual,Manual,First Owner,7.0,16.5,1493.0,70.0,Mahindra,9,1
2014,650000,65000,Diesel,Individual,Manual,Second Owner,7.0,15.96,2523.0,62.1,Mahindra,12,2
2012,560000,40000,Petrol,Individual,Manual,Second Owner,5.0,16.8,1497.0,116.3,Honda,14,2
2012,120000,160000,Diesel,Individual,Manual,Second Owner,,,,,Tata,14,2
2016,400000,25000,Petrol,Individual,Manual,First Owner,5.0,23.1,998.0,67.04,Maruti,10,1
2012,200000,29500,Petrol,Individual,Manual,First Owner,5.0,20.92,998.0,67.1,Maruti,14,1
2018,950000,13887,Petrol,Individual,Manual,First Owner,5.0,17.0,1591.0,121.3,Hyundai,8,1
2016,300000,50000,Petrol,Individual,Manual,Second Owner,5.0,22.74,796.0,47.3,Maruti,10,2
2016,315000,30000,Petrol,Individual,Manual,Second Owner,5.0,25.17,799.0,53.3,Renault,10,2
2012,220000,100000,Petrol,Individual,Manual,First Owner,5.0,22.74,796.0,47.3,Maruti,14,1
2011,130000,60000,Petrol,Individual,Manual,Second Owner,5.0,14.49,1399.0,92.7,Chevrolet,15,2
2016,595000,60000,Diesel,Individual,Manual,Second Owner,5.0,22.54,1396.0,88.73,Hyundai,10,2
2011,110000,120000,Diesel,Individual,Manual,First Owner,5.0,19.4,1405.0,70.0,Tata,15,1
2017,680000,13500,Petrol,Individual,Manual,First Owner,5.0,17.0,1497.0,121.36,Ford,9,1
2013,280000,52000,Diesel,Individual,Manual,First Owner,5.0,20.3,1248.0,75.0,Fiat,13,1
2017,530000,30000,Petrol,Individual,Manual,Second Owner,5.0,21.4,1197.0,83.1,Maruti,9,2
2017,610000,14000,Petrol,Individual,Manual,First Owner,5.0,19.1,1197.0,82.0,Hyundai,9,1
2014,500000,90000,Diesel,Individual,Manual,Second Owner,7.0,15.05,2179.0,147.9,Tata,12,2
2018,500000,50000,Diesel,Individual,Manual,First Owner,5.0,24.7,1047.0,69.0,Tata,8,1
2010,250000,120000,Diesel,Individual,Manual,Second Owner,8.0,13.0,2489.0,95.0,Mahindra,16,2
2018,325000,10000,Petrol,Individual,Manual,First Owner,5.0,21.1,814.0,55.2,Hyundai,8,1
2018,550000,10000,Petrol,Individual,Manual,First Owner,5.0,21.4,1197.0,83.1,Maruti,8,1
2018,720000,25000,Petrol,Individual,Manual,First Owner,5.0,20.73,1373.0,91.1,Maruti,8,1
2017,950000,20000,Petrol,Individual,Manual,First Owner,5.0,17.0,1591.0,121.3,Hyundai,9,1
2013,350000,60000,Diesel,Individual,Manual,First Owner,5.0,22.9,1248.0,74.0,Maruti,13,1
2018,500000,40000,Petrol,Individual,Manual,First Owner,5.0,18.9,1197.0,81.86,Hyundai,8,1
2012,380000,60000,Diesel,Individual,Manual,First Owner,5.0,19.3,1248.0,73.9,Maruti,14,1
2015,380000,50000,Petrol,Individual,Automatic,First Owner,5.0,16.9,1197.0,82.0,Hyundai,11,1
2017,900000,20000,Petrol,Individual,Manual,First Owner,5.0,17.0,1591.0,121.3,Hyundai,9,1
2017,295000,35000,Petrol,Individual,Manual,First Owner,5.0,24.7,796.0,47.3,Maruti,9,1
2016,640000,40000,Diesel,Individual,Manual,First Owner,5.0,28.09,1248.0,88.5,Maruti,10,1
2018,790000,60000,Diesel,Individual,Manual,First Owner,5.0,21.5,1497.0,108.5,Tata,8,1
2015,625000,20000,Petrol,Individual,Manual,First Owner,5.0,17.01,1591.0,121.4,Hyundai,11,1
2017,604000,30000,Petrol,Individual,Manual,Second Owner,5.0,17.0,1497.0,121.36,Ford,9,2
2015,315000,29000,Petrol,Individual,Manual,First Owner,5.0,23.95,998.0,67.05,Maruti,11,1
2019,950000,17000,Diesel,Individual,Manual,First Owner,5.0,20.0,1497.0,115.0,Mahindra,7,1
2017,400000,50000,Petrol,Individual,Manual,First Owner,5.0,20.51,998.0,67.04,Maruti,9,1
2018,700000,42000,Petrol,Individual,Automatic,First Owner,5.0,18.6,1368.0,98.63,Hyundai,8,1
2011,700000,120000,Diesel,Individual,Manual,Second Owner,8.0,12.8,2494.0,102.0,Toyota,15,2
2012,260000,110000,Diesel,Individual,Manual,First Owner,5.0,21.03,1461.0,65.0,Mahindra,14,1
2012,200000,90000,Diesel,Individual,Manual,First Owner,5.0,23.57,1396.0,70.0,Tata,14,1
2020,580000,70000,Petrol,Individual,Manual,First Owner,5.0,23.26,1197.0,88.5,Maruti,6,1
2011,330000,66000,Diesel,Individual,Manual,Second Owner,5.0,20.5,1598.0,105.0,Volkswagen,15,2
2011,400000,70000,Diesel,Individual,Manual,Third Owner,5.0,16.2,1493.0,110.0,Hyundai,15,3
2018,1350000,5000,Petrol,Individual,Automatic,First Owner,5.0,14.8,1591.0,121.3,Hyundai,8,1
2014,250000,50000,Diesel,Individual,Manual,Second Owner,5.0,21.03,1461.0,65.0,Mahindra,12,2
2019,725000,25000,Petrol,Individual,Manual,First Owner,5.0,15.41,1598.0,103.2,Skoda,7,1
2013,300000,70000,Diesel,Individual,Manual,First Owner,5.0,23.4,1248.0,74.0,Maruti,13,1
2006,120000,40000,Petrol,Individual,Manual,Second Owner,4.0,16.1,796.0,37.0,Maruti,20,2
2016,1175000,110000,Diesel,Individual,Manual,First Owner,7.0,16.0,2179.0,140.0,Mahindra,10,1
2009,380000,150000,Diesel,Individual,Manual,First Owner,7.0,13.93,2179.0,138.0,Tata,17,1
2014,400000,45000,Diesel,Individual,Manual,First Owner,5.0,19.1,1405.0,70.0,Tata,12,1
2005,140000,90000,Diesel,Individual,Manual,Third Owner,5.0,16.1,1405.0,70.0,Tata,21,3
2011,229999,140000,Diesel,Individual,Manual,Second Owner,7.0,11.57,2179.0,138.1,Tata,15,2
2003,110000,83000,Petrol,Individual,Manual,Second Owner,5.0,13.8,1299.0,70.0,Ford,23,2
2011,550000,106000,Diesel,Individual,Automatic,Second Owner,5.0,16.96,1968.0,138.1,Volkswagen,15,2
2008,150000,60000,Petrol,Individual,Manual,Fourth & Above Owner,5.0,15.26,1150.0,74.9,Chevrolet,18,4
2017,265000,40000,Petrol,Individual,Manual,Second Owner,8.0,16.8,796.0,34.2,Maruti,9,2
2011,300000,138000,Petrol,Individual,Manual,Third Owner,5.0,17.0,1197.0,80.0,Hyundai,15,3
2015,280000,80000,Petrol,Individual,Manual,First Owner,5.0,22.74,796.0,47.3,Maruti,11,1
2005,130000,50000,Petrol,Individual,Manual,Second Owner,5.0,15.3,1341.0,83.0,Hyundai,21,2
2015,350000,50000,Petrol,Individual,Manual,First Owner,5.0,18.2,1199.0,82.4,Chevrolet,11,1
2009,200000,120000,Petrol,Individual,Manual,First Owner,5.0,18.5,1197.0,85.8,Maruti,17,1
2018,550000,24400,Petrol,Individual,Manual,First Owner,5.0,22.0,1197.0,81.8,Maruti,8,1
2013,400000,60000,Diesel,Individual,Manual,Second Owner,7.0,15.96,2523.0,62.1,Mahindra,13,2
2010,170000,120000,Petrol,Individual,Manual,Second Owner,5.0,18.5,1197.0,85.8,Maruti,16,2
2015,600000,60000,Diesel,Individual,Manual,Second Owner,5.0,24.8,1396.0,88.7,Hyundai,11,2
2011,130000,100000,Petrol,Individual,Manual,Second Owner,5.0,19.7,796.0,46.3,Maruti,15,2
2007,120000,60000,CNG,Individual,Manual,Second Owner,,,,,Hyundai,19,2
2011,100000,120000,Petrol,Individual,Manual,Second Owner,4.0,16.1,796.0,37.0,Maruti,15,2
2016,310000,27500,Petrol,Individual,Manual,First Owner,5.0,25.17,799.0,53.3,Renault,10,1
2007,35000,10000,Petrol,Individual,Manual,First Owner,4.0,16.1,796.0,37.0,Maruti,19,1
2010,200000,120000,Petrol,Individual,Manual,Third Owner,5.0,18.5,1197.0,80.0,Hyundai,16,3
2009,270000,70000,Diesel,Individual,Manual,Second Owner,,,,,Maruti,17,2
2015,650000,80000,Diesel,Individual,Manual,First Owner,5.0,22.54,1396.0,88.73,Hyundai,11,1
2013,210000,120000,Petrol,Individual,Manual,First Owner,5.0,15.64,1193.0,64.1,Tata,13,1
2015,509999,90000,Diesel,Individual,Manual,First Owner,5.0,24.4,1120.0,71.01,Hyundai,11,1
2013,229999,70000,Diesel,Individual,Manual,First Owner,5.0,20.0,1399.0,68.1,Ford,13,1
2014,409999,188000,Diesel,Individual,Manual,Second Owner,5.0,19.01,1461.0,108.45,Renault,12,2
2011,130000,67840,Petrol,Individual,Manual,First Owner,5.0,18.0,995.0,62.0,Chevrolet,15,1
2013,95000,30000,Petrol,Individual,Manual,First Owner,4.0,25.4,624.0,37.48,Tata,13,1
2016,225000,35000,Petrol,Individual,Manual,Second Owner,5.0,22.74,796.0,47.3,Maruti,10,2
2010,256999,150000,Diesel,Individual,Manual,Second Owner,,,,,Maruti,16,2
2017,775000,100000,Diesel,Individual,Manual,First Owner,5.0,24.3,1248.0,88.5,Maruti,9,1
2017,420000,30000,Petrol,Individual,Manual,First Owner,5.0,20.51,998.0,67.04,Maruti,9,1
2016,480000,70000,Petrol,Individual,Manual,First Owner,5.0,18.9,1197.0,82.0,Hyundai,10,1
2003,200000,149032,Diesel,Individual,Manual,First Owner,,,,,Toyota,23,1
2010,260000,380000,Diesel,Individual,Manual,Second Owner,7.0,13.6,2523.0,63.0,Mahindra,16,2
2011,210000,84050,Petrol,Individual,Manual,First Owner,,,,,Toyota,15,1
2018,600000,15000,Petrol,Individual,Manual,First Owner,5.0,16.2,1199.0,74.0,Volkswagen,8,1
2009,140000,140000,Diesel,Individual,Manual,Second Owner,5.0,13.8,1399.0,68.0,Ford,17,2
2010,130000,120000,Petrol,Individual,Manual,Third Owner,8.0,19.7,796.0,35.0,Maruti,16,3
2007,195000,112880,Diesel,Dealer,Manual,First Owner,5.0,25.2,1248.0,74.0,Maruti,19,1
2013,210000,135000,Diesel,Dealer,Manual,Second Owner,5.0,19.4,1405.0,70.0,Tata,13,2
2006,130000,80000,Petrol,Individual,Manual,Third Owner,5.0,18.9,998.0,67.1,Maruti,20,3
2012,141000,128000,Petrol,Individual,Manual,Third Owner,5.0,18.6,1199.0,79.4,Chevrolet,14,3
2011,280000,120000,Diesel,Individual,Manual,First Owner,7.0,13.6,2523.0,63.0,Mahindra,15,1
2010,350000,30000,Petrol,Individual,Automatic,First Owner,5.0,12.6,1586.0,103.2,Maruti,16,1
2018,575000,70000,Petrol,Individual,Manual,First Owner,5.0,17.0,1198.0,108.5,Tata,8,1
2015,550000,41000,Petrol,Individual,Manual,First Owner,5.0,18.6,1197.0,81.83,Hyundai,11,1
2011,420000,28100,Petrol,Individual,Manual,First Owner,,,,,Toyota,15,1
2006,120000,30000,Petrol,Individual,Manual,Second Owner,5.0,19.7,796.0,46.3,Maruti,20,2
2015,320000,30000,Petrol,Individual,Manual,First Owner,5.0,23.95,998.0,67.05,Maruti,11,1
2011,250000,35000,Petrol,Individual,Manual,First Owner,5.0,16.36,1495.0,93.7,Hyundai,15,1
2010,300000,22000,Petrol,Individual,Manual,First Owner,5.0,15.0,1586.0,104.68,Maruti,16,1
2006,250000,70000,Petrol,Individual,Manual,First Owner,5.0,18.9,998.0,67.1,Maruti,20,1
2005,120000,100000,Petrol,Individual,Manual,Second Owner,,,,,Maruti,21,2
2018,750000,70000,Diesel,Individual,Manual,First Owner,7.0,16.5,1493.0,70.0,Mahindra,8,1
2005,151000,200000,Diesel,Individual,Manual,Second Owner,8.0,10.5,2179.0,120.0,Mahindra,21,2
2011,300000,120000,Diesel,Individual,Manual,First Owner,7.0,13.93,2179.0,138.03,Tata,15,1
2019,577000,3000,Petrol,Individual,Manual,First Owner,5.0,20.89,1197.0,81.8,Maruti,7,1
2012,229999,50000,Petrol,Individual,Manual,First Owner,5.0,20.92,998.0,67.1,Maruti,14,1
2013,500000,50000,Diesel,Individual,Manual,First Owner,7.0,15.96,2523.0,62.1,Mahindra,13,1
2019,840000,1500,Petrol,Individual,Automatic,First Owner,5.0,18.2,1199.0,88.7,Honda,7,1
2017,900000,74000,Diesel,Individual,Manual,First Owner,5.0,22.27,1498.0,108.6,Volkswagen,9,1
2017,650000,25000,Petrol,Individual,Manual,First Owner,5.0,18.7,1199.0,88.7,Honda,9,1
2016,650000,61915,Diesel,Individual,Manual,First Owner,5.0,27.3,1498.0,98.6,Honda,10,1
2016,250000,110000,Petrol,Individual,Manual,First Owner,5.0,21.1,814.0,55.2,Hyundai,10,1
2016,550000,70000,Diesel,Individual,Manual,First Owner,5.0,20.14,1498.0,88.0,Volkswagen,10,1
2007,250000,150000,Diesel,Individual,Manual,Fourth & Above Owner,5.0,17.8,1248.0,75.0,Maruti,19,4
2013,350000,110000,Diesel,Individual,Manual,Second Owner,7.0,17.21,1493.0,100.0,Mahindra,13,2
2014,185000,90000,Diesel,Individual,Manual,Second Owner,5.0,25.44,936.0,56.3,Chevrolet,12,2
2010,229999,120000,Petrol,Individual,Manual,Third Owner,5.0,15.6,1196.0,70.0,Ford,16,3
2016,1000000,65000,Diesel,Individual,Manual,First Owner,8.0,12.99,2494.0,100.6,Toyota,10,1
2019,490000,10000,Petrol,Individual,Manual,First Owner,5.0,20.52,1197.0,81.8,Maruti,7,1
2009,150000,80000,Petrol,Individual,Manual,Second Owner,5.0,20.36,1197.0,78.9,Hyundai,17,2
2013,600000,184000,Diesel,Individual,Manual,First Owner,7.0,20.77,1248.0,88.76,Maruti,13,1
